No,Tahun,Provinsi,Kode_Kabupaten_Kota,Kabupaten_Kota,PoU,Jumlah_Penduduk,Penduduk_Undernourish,id,latitude,longitude
487,2018,PAPUA,9402,JAYAWIJAYA,40.75,214994,87610,9402,-4.08333,139.08333
488,2018,PAPUA,9403,JAYAPURA,33.03,128587,42472,9403,-3.0,139.95
489,2018,PAPUA,9404,NABIRE,34.95,147921,51698,9404,-3.54016,135.55511
490,2018,PAPUA,9408,KEPULAUAN YAPEN,37.13,97412,36169,9408,-1.78773,136.27716
491,2018,PAPUA,9409,BIAK NUMFOR,41.61,148404,61751,9409,-1.03333,136.0
492,2018,PAPUA,9410,PANIAI,30.86,173392,53509,9410,-3.9,136.60001
493,2018,PAPUA,9411,PUNCAK JAYA,21.06,126113,26559,9411,-3.67241,137.43896
494,2018,PAPUA,9412,MIMIKA,20.43,215493,44025,9412,-4.54357,136.56555
495,2018,PAPUA,9413,BOVEN DIGOEL,32.02,67717,21683,9413,-5.70519,140.36349
496,2018,PAPUA,9414,MAPPI,40.61,99599,40447,9414,-6.49971,139.34441
497,2018,PAPUA,9415,ASMAT,53.96,95606,51589,9415,-5.3795,138.46344
498,2018,PAPUA,9416,YAHUKIMO,61.74,189092,116745,9416,-4.60403,139.58405
