No,Tahun,Provinsi,Kode_Kabupaten_Kota,Kabupaten_Kota,PoU,Jumlah_Penduduk,Penduduk_Undernourish
2595,2023,SUMATERA UTARA,1202,MANDAILING NATAL,9.03,496975,44877
2596,2023,SUMATERA UTARA,1203,TAPANULI SELATAN,8.10,312540,25316
2597,2023,SUMATERA UTARA,1204,TAPANULI TENGAH,6.99,386895,27044
2598,2023,SUMATERA UTARA,1205,TAPANULI UTARA,7.05,323102,22779
2599,2023,SUMATERA UTARA,1206,TOBA SAMOSIR,6.91,213850,14777
2600,2023,SUMATERA UTARA,1207,LABUHANBATU,7.38,513826,37920
2601,2023,SUMATERA UTARA,1208,ASAHAN,8.65,802563,69422
2602,2023,SUMATERA UTARA,1209,SIMALUNGUN,11.19,1035920,115919
2603,2023,SUMATERA UTARA,1210,DAIRI,7.66,324747,24876
2604,2023,SUMATERA UTARA,1211,KARO,5.42,420799,22807
2605,2023,SUMATERA UTARA,1212,DELI SERDANG,9.70,2018164,195762
2606,2023,SUMATERA UTARA,1213,LANGKAT,10.75,1066711,114671
2607,2023,SUMATERA UTARA,1214,NIAS SELATAN,13.45,382539,51451
2608,2023,SUMATERA UTARA,1215,HUMBANG HASUNDUTAN,5.82,204700,11914
2609,2023,SUMATERA UTARA,1216,PAKPAK BHARAT,5.26,55172,2902
2610,2023,SUMATERA UTARA,1217,SAMOSIR,6.31,141333,8918
2611,2023,SUMATERA UTARA,1218,SERDANG BEDAGAI,10.59,682918,72321
2612,2023,SUMATERA UTARA,1219,BATU BARA,8.44,430533,36337
2613,2023,SUMATERA UTARA,1220,PADANG LAWAS UTARA,6.09,275448,16775
2614,2023,SUMATERA UTARA,1221,PADANG LAWAS,5.26,275648,14499
2615,2023,SUMATERA UTARA,1222,LABUHANBATU SELATAN,5.33,330797,17631
2616,2023,SUMATERA UTARA,1223,LABUHANBATU UTARA,7.69,401863,30903
2617,2023,SUMATERA UTARA,1224,NIAS UTARA,9.20,155873,14340
2618,2023,SUMATERA UTARA,1225,NIAS BARAT,10.95,95334,10439
2619,2023,SUMATERA UTARA,1271,KOTA SIBOLGA,7.32,91265,6681
2620,2023,SUMATERA UTARA,1272,KOTA TANJUNG BALAI,7.56,183170,13848
2621,2023,SUMATERA UTARA,1273,KOTA PEMATANGSIANTAR,9.09,274838,24983
2622,2023,SUMATERA UTARA,1274,KOTA TEBING TINGGI,9.78,178914,17498
2623,2023,SUMATERA UTARA,1275,KOTA MEDAN,7.30,2474166,180614
2624,2023,SUMATERA UTARA,1276,KOTA BINJAI,11.50,303272,34876
2625,2023,SUMATERA UTARA,1277,KOTA PADANG SIDEMPUAN,7.45,236217,17598
2626,2023,SUMATERA UTARA,1278,KOTA GUNUNGSITOLI,9.66,142890,13803
2627,2023,SUMATERA BARAT,1301,KEPULAUAN MENTAWAI,10.62,91427,9710
2628,2023,SUMATERA BARAT,1302,PESISIR SELATAN,8.65,525355,45443
2629,2023,SUMATERA BARAT,1303,SOLOK,6.83,405375,27687
2630,2023,SUMATERA BARAT,1304,SIJUNJUNG,5.88,243709,14330
2631,2023,SUMATERA BARAT,1305,TANAH DATAR,9.54,383676,36603
2632,2023,SUMATERA BARAT,1306,PADANG PARIAMAN,7.41,451388,33448
2633,2023,SUMATERA BARAT,1307,AGAM,9.86,551893,54417
2634,2023,SUMATERA BARAT,1308,LIMA PULUH KOTA,6.85,396427,27155
2635,2023,SUMATERA BARAT,1309,PASAMAN,8.67,313199,27154
2636,2023,SUMATERA BARAT,1310,SOLOK SELATAN,8.01,191540,15342
2637,2023,SUMATERA BARAT,1311,DHARMASRAYA,6.25,239918,14995
2638,2023,SUMATERA BARAT,1312,PASAMAN BARAT,7.21,450050,32449
2639,2023,SUMATERA BARAT,1371,KOTA PADANG,6.52,942938,61480
2640,2023,SUMATERA BARAT,1372,KOTA SOLOK,6.71,77842,5223
2641,2023,SUMATERA BARAT,1373,KOTA SAWAHLUNTO,8.76,67758,5936
2642,2023,SUMATERA BARAT,1374,KOTA PADANG PANJANG,6.81,58627,3992
2643,2023,SUMATERA BARAT,1375,KOTA BUKITTINGGI,6.21,124047,7703
2644,2023,SUMATERA BARAT,1376,KOTA PAYAKUMBUH,6.51,144830,9428
2645,2023,SUMATERA BARAT,1377,KOTA PARIAMAN,8.38,97206,8146
2646,2023,RIAU,1401,KUANTAN SINGINGI,13.75,345610,47521
2647,2023,RIAU,1402,INDRAGIRI HULU,12.31,462220,56899
2648,2023,RIAU,1403,INDRAGIRI HILIR,17.06,677290,115546
2649,2023,RIAU,1404,PELALAWAN,10.96,408543,44776
2650,2023,RIAU,1405,SIAK,10.33,477064,49281
2651,2023,RIAU,1406,KAMPAR,12.01,881028,105811
2652,2023,RIAU,1407,ROKAN HULU,9.32,585183,54539
2653,2023,RIAU,1408,BENGKALIS,12.77,584916,74694
2654,2023,RIAU,1409,ROKAN HILIR,12.62,663956,83791
2655,2023,RIAU,1410,KEPULAUAN MERANTI,15.95,211791,33781
2656,2023,RIAU,1471,KOTA PEKANBARU,11.75,1016366,119423
2657,2023,RIAU,1473,D U M A I,12.42,328907,40850
